identifiant_activite,identifiant_client,recettes_initiales,marge_structurelle,croissance_annuelle,volatilite_recettes,amplitude_saisonniere,mois_pic
ACT-036668,CLT-030022,232505,0.0466,0.0680,0.1706,0.1287,11
ACT-036669,CLT-030023,699090,0.0200,-0.0481,0.1320,0.1315,12
ACT-036670,CLT-030023,76870,0.2230,-0.0137,0.4239,0.4724,10
ACT-036671,CLT-030024,149614,0.3072,0.0290,0.2174,0.1802,12
ACT-036672,CLT-030025,27343,0.1049,0.1022,0.3142,0.2384,11
ACT-036673,CLT-030026,138085,0.1874,-0.0229,0.1365,0.2331,12
ACT-036674,CLT-030027,87886,0.2939,0.0608,0.2780,0.3049,11
ACT-036675,CLT-030028,93903,0.4867,-0.0930,0.2374,0.1613,11
ACT-036676,CLT-030029,493152,0.3037,0.2957,0.2097,0.4482,9
ACT-036677,CLT-030030,309432,0.1696,0.0289,0.3482,0.5858,12
ACT-036678,CLT-030031,479154,0.0738,0.0915,0.2774,0.5088,11
ACT-036679,CLT-030031,186884,0.0346,0.1542,0.1713,0.2444,11
ACT-036680,CLT-030032,251898,0.2396,-0.0073,0.1083,0.4739,11
ACT-036681,CLT-030032,52222,0.2341,-0.0736,0.0930,0.1992,12
ACT-036682,CLT-030033,230199,0.2891,-0.0532,0.2615,0.3577,9
ACT-036683,CLT-030034,209326,0.1265,0.0166,0.4334,0.2540,11
ACT-036684,CLT-030035,39766,0.3175,0.1468,0.3976,0.6262,11
ACT-036685,CLT-030036,175478,0.1328,0.1808,0.3377,0.6286,12
ACT-036686,CLT-030037,242658,0.0548,0.0156,0.1501,0.2059,12
ACT-036687,CLT-030037,297288,0.0551,-0.1255,0.2239,0.2288,12
ACT-036688,CLT-030038,212335,0.0309,-0.0399,0.0554,0.2525,12
ACT-036689,CLT-030039,135851,0.1016,0.0838,0.2646,0.3149,9
ACT-036690,CLT-030040,276561,0.1641,-0.0238,0.2241,0.3051,12
ACT-036691,CLT-030041,85399,0.2810,-0.0412,0.2987,0.5930,12
ACT-036692,CLT-030041,222458,0.1538,0.1125,0.2754,0.3410,10
ACT-036693,CLT-030042,126218,0.1401,0.2298,0.5669,0.1500,11
ACT-036694,CLT-030042,82628,0.2665,-0.0753,0.4795,0.4748,12
ACT-036695,CLT-030043,173177,0.1985,-0.0176,0.1874,0.5565,12
ACT-036696,CLT-030044,160149,0.2090,0.0831,0.3803,0.6675,11
ACT-036697,CLT-030045,104398,0.1510,0.1321,0.4035,0.4136,11
ACT-036698,CLT-030046,734470,0.3725,0.1349,0.4399,0.1109,10
ACT-036699,CLT-030047,93244,0.2169,0.0077,0.3372,0.6014,11
ACT-036700,CLT-030048,17845,0.2620,0.1353,0.3224,0.5250,10
ACT-036701,CLT-030049,116014,0.1369,-0.0911,0.2170,0.2155,12
ACT-036702,CLT-030049,114982,0.1976,-0.0131,0.1261,0.2027,11
ACT-036703,CLT-030050,136898,0.1932,0.0166,0.2503,0.2955,12
ACT-036704,CLT-030051,258849,0.2004,-0.1008,0.3003,0.3741,9
ACT-036705,CLT-030052,1091264,0.2248,0.0387,0.2329,0.1524,10
ACT-036706,CLT-030053,142403,0.2305,0.0106,0.2435,0.1372,12
ACT-036707,CLT-030054,241111,0.1340,-0.0368,0.1766,0.1174,12
ACT-036708,CLT-030055,189623,0.2309,0.0607,0.2674,0.3787,11
ACT-036709,CLT-030055,361548,0.1199,0.0442,0.1029,0.1676,12
ACT-036710,CLT-030056,230674,0.1579,0.0046,0.2011,0.2453,12
ACT-036711,CLT-030057,144412,0.2618,-0.0333,0.4178,0.5717,12
ACT-036712,CLT-030058,61852,0.2834,-0.1063,0.0630,0.4992,12
ACT-036713,CLT-030059,231434,0.1637,0.0255,0.3854,0.5353,12
ACT-036714,CLT-030060,1042385,0.1657,0.0340,0.1833,0.1204,12
ACT-036715,CLT-030060,216119,0.1892,0.1263,0.2848,0.4045,11
ACT-036716,CLT-030061,215891,0.3394,0.0493,0.3805,0.5491,12
ACT-036717,CLT-030062,75715,0.2241,0.1620,0.2559,0.2042,12
ACT-036718,CLT-030063,307941,0.1507,-0.0294,0.3959,0.5113,11
ACT-036719,CLT-030064,342833,0.2588,-0.2162,0.1780,0.3144,12
ACT-036720,CLT-030065,136015,0.3075,0.0733,0.2344,0.1739,12
ACT-036721,CLT-030065,288487,0.0502,0.0746,0.1581,0.2187,12
ACT-036722,CLT-030066,55284,0.2029,0.0696,0.3559,0.5335,12
ACT-036723,CLT-030067,274336,0.1508,-0.0254,0.3151,0.1661,12
ACT-036724,CLT-030067,46905,0.2089,-0.1495,0.3061,0.5979,12
ACT-036725,CLT-030068,72555,0.1330,-0.1018,0.2246,0.1724,12
ACT-036726,CLT-030068,98311,0.2501,-0.1218,0.3190,0.2990,12
ACT-036727,CLT-030069,530592,0.3815,0.0407,0.2389,0.1565,9
ACT-036728,CLT-030069,672766,0.1214,0.0850,0.1124,0.2387,11
ACT-036729,CLT-030070,148424,0.2970,0.2086,0.2087,0.2371,12
ACT-036730,CLT-030071,1064653,0.1695,-0.1073,0.3564,0.4564,9
ACT-036731,CLT-030072,100609,0.2102,-0.0412,0.5613,0.5845,11
ACT-036732,CLT-030073,218776,0.1632,-0.0708,0.2166,0.1869,12
ACT-036733,CLT-030074,215687,0.0742,-0.0624,0.1869,0.1949,11
ACT-036734,CLT-030075,416104,0.2591,-0.0306,0.1536,0.2797,11
ACT-036735,CLT-030076,224953,0.2733,-0.0628,0.2285,0.3966,11
ACT-036736,CLT-030077,68278,0.2466,0.0440,0.2132,0.1643,8
ACT-036737,CLT-030077,124107,0.2183,-0.0184,0.3648,0.5697,12
ACT-036738,CLT-030078,217365,0.1022,0.1392,0.1980,0.2350,11
ACT-036739,CLT-030078,17238,0.1800,-0.1194,0.4108,0.6240,11
ACT-036740,CLT-030079,437068,0.1674,0.0063,0.1298,0.1107,12
ACT-036741,CLT-030080,178587,0.1928,0.0701,0.3525,0.3566,9
ACT-036742,CLT-030080,22167,0.1721,0.0626,0.3576,0.5364,12
ACT-036743,CLT-030081,998827,0.2384,-0.0506,0.2939,0.1201,12
ACT-036744,CLT-030081,66776,0.1124,0.1157,0.1830,0.1978,11
ACT-036745,CLT-030082,266083,0.1331,0.0428,0.1501,0.2224,11
ACT-036746,CLT-030083,1399824,0.0657,0.1420,0.1577,0.1533,10
ACT-036747,CLT-030084,78054,0.3354,0.1916,0.2532,0.1066,9
ACT-036748,CLT-030085,156093,0.2267,-0.0135,0.1703,0.1475,10
ACT-036749,CLT-030086,188496,0.0992,0.0113,0.1745,0.2837,12
ACT-036750,CLT-030087,116971,0.0553,-0.1486,0.2362,0.2452,12
ACT-036751,CLT-030088,335523,0.3143,0.1342,0.1323,0.2151,9
ACT-036752,CLT-030089,195874,0.2652,-0.0766,0.2102,0.2599,11
ACT-036753,CLT-030090,68129,0.4358,0.1332,0.2168,0.1829,8
ACT-036754,CLT-030091,596339,0.2194,0.0855,0.2668,0.1333,12
ACT-036755,CLT-030091,124613,0.1069,-0.1398,0.0998,0.2749,11
ACT-036756,CLT-030092,85692,0.2267,0.0958,0.2962,0.5254,12
ACT-036757,CLT-030093,125742,0.1760,0.2109,0.3027,0.2432,12
ACT-036758,CLT-030094,141826,0.1086,0.0470,0.1661,0.1488,12
ACT-036759,CLT-030095,454151,0.1236,0.0131,0.2497,0.5752,9
ACT-036760,CLT-030096,198736,0.2294,0.2371,0.2866,0.3145,10
ACT-036761,CLT-030097,456123,0.1557,-0.0815,0.5798,0.2213,12
ACT-036762,CLT-030097,37264,0.3127,-0.1526,0.4575,0.2637,12
ACT-036763,CLT-030098,146364,0.0836,-0.0211,0.3221,0.1838,12
ACT-036764,CLT-030099,387971,0.1638,0.2561,0.1889,0.1486,12
ACT-036765,CLT-030100,134702,0.2059,-0.0250,0.3654,0.5962,10
ACT-036766,CLT-030101,122458,0.2337,-0.1327,0.1843,0.0704,9
ACT-036767,CLT-030101,157754,0.1561,-0.1565,0.1818,0.2187,12
ACT-036768,CLT-030102,36194,0.1917,0.1524,0.2530,0.2550,10
ACT-036769,CLT-030103,193664,0.2635,-0.0308,0.2832,0.4533,11
ACT-036770,CLT-030103,68507,0.1458,0.1840,0.1446,0.6905,11
ACT-036771,CLT-030104,135811,0.1954,0.1557,0.1618,0.1750,11
ACT-036772,CLT-030105,634958,0.1371,-0.0361,0.2009,0.0838,11
ACT-036773,CLT-030106,283147,0.1805,-0.1852,0.1993,0.2227,12
ACT-036774,CLT-030107,377114,0.2342,-0.0367,0.1920,0.2086,12
ACT-036775,CLT-030108,194437,0.2159,0.1308,0.4261,0.5116,11
ACT-036776,CLT-030109,124248,0.3092,-0.0794,0.3276,0.5585,12
ACT-036777,CLT-030109,58721,0.2914,-0.1822,0.1741,0.2706,12
ACT-036778,CLT-030110,474870,0.0569,0.0652,0.1925,0.2390,11
ACT-036779,CLT-030111,807434,0.3886,-0.0879,0.1448,0.1471,10
ACT-036780,CLT-030112,54391,0.2827,0.0503,0.2405,0.2043,11
ACT-036781,CLT-030113,568969,0.2039,-0.0502,0.3290,0.6197,11
ACT-036782,CLT-030114,44165,0.2846,0.0788,0.5272,0.5241,12
ACT-036783,CLT-030115,1077221,0.0997,0.0889,0.1052,0.0980,12
ACT-036784,CLT-030116,334220,0.0941,-0.1258,0.3814,0.2003,12
ACT-036785,CLT-030117,193341,0.2391,0.3500,0.2281,0.1233,11
ACT-036786,CLT-030118,1820707,0.1128,0.0564,0.3716,0.2493,12
ACT-036787,CLT-030119,586990,0.1575,0.0158,0.1969,0.5766,12
ACT-036788,CLT-030119,76831,0.2529,0.1392,0.1805,0.5741,10
ACT-036789,CLT-030120,288579,0.3195,-0.1207,0.1936,0.1692,8
ACT-036790,CLT-030121,86251,0.2403,0.1624,0.2447,0.6089,12
ACT-036791,CLT-030122,258186,0.2600,0.0901,0.4955,0.2589,12
ACT-036792,CLT-030123,133695,0.1067,0.0028,0.1048,0.2083,12
ACT-036793,CLT-030124,399856,0.0933,0.0839,0.1501,0.1233,11
ACT-036794,CLT-030124,88040,0.3341,-0.0347,0.1733,0.1165,9
ACT-036795,CLT-030125,41665,0.2465,-0.0065,0.2274,0.2014,11
ACT-036796,CLT-030126,231427,0.1084,0.1941,0.1103,0.1800,12
ACT-036797,CLT-030127,130539,0.2693,-0.0702,0.1079,0.2209,12
ACT-036798,CLT-030127,123587,0.2913,0.1407,0.1138,0.2321,8
ACT-036799,CLT-030128,293642,0.1114,0.0271,0.3519,0.1819,12
ACT-036800,CLT-030129,84966,0.0608,-0.0467,0.2424,0.2359,12
ACT-036801,CLT-030130,197410,0.1883,0.1283,0.4602,0.2228,12
ACT-036802,CLT-030131,154841,0.1677,-0.1047,0.2221,0.2096,12
ACT-036803,CLT-030132,232800,0.3135,0.0975,0.3972,0.5725,10
ACT-036804,CLT-030132,128203,0.2416,0.0447,0.2359,0.1440,11
ACT-036805,CLT-030133,717752,0.0337,-0.0449,0.3291,0.4880,11
ACT-036806,CLT-030134,240394,0.2891,0.1335,0.1995,0.1984,10
ACT-036807,CLT-030135,338033,0.1898,0.1545,0.3508,0.6391,11
ACT-036808,CLT-030136,24436,0.2274,-0.1533,0.3087,0.3324,12
ACT-036809,CLT-030137,660802,0.1644,0.0423,0.2017,0.4834,12
ACT-036810,CLT-030138,134303,0.0631,-0.0585,0.1321,0.1934,12
ACT-036811,CLT-030139,126950,0.3051,-0.1160,0.1612,0.2182,10
ACT-036812,CLT-030140,352582,0.0385,-0.0314,0.2011,0.3226,12
ACT-036813,CLT-030141,420530,0.1823,-0.0387,0.4050,0.6217,11
ACT-036814,CLT-030142,148230,0.2861,-0.0236,0.3263,0.3114,11
ACT-036815,CLT-030143,396411,0.0828,0.1609,0.3019,0.1589,11
ACT-036816,CLT-030144,318523,0.2364,-0.0412,0.3648,0.5444,11
ACT-036817,CLT-030145,386076,0.1625,0.1533,0.3225,0.3440,9
ACT-036818,CLT-030145,19102,0.3517,0.0732,0.1762,0.0510,10
ACT-036819,CLT-030146,110151,0.2081,-0.1603,0.2216,0.3482,10
ACT-036820,CLT-030147,182471,0.3837,0.0497,0.1280,0.1343,8
ACT-036821,CLT-030148,523255,0.1740,-0.0865,0.0654,0.0647,11
ACT-036822,CLT-030149,233758,0.2635,0.0897,0.1784,0.1420,9
ACT-036823,CLT-030150,390916,0.0697,0.0339,0.0565,0.1310,11
ACT-036824,CLT-030151,206953,0.2379,0.0115,0.1939,0.1541,12
ACT-036825,CLT-030152,81980,0.1128,0.1685,0.3194,0.4128,9
ACT-036826,CLT-030153,86940,0.2265,0.1478,0.0913,0.3018,11
ACT-036827,CLT-030154,176088,0.1364,-0.2318,0.1586,0.1676,11
ACT-036828,CLT-030155,300331,0.1652,-0.0040,0.1654,0.5303,12
ACT-036829,CLT-030156,31150,0.3072,0.0526,0.2057,0.3481,12
ACT-036830,CLT-030157,513380,0.3573,0.0089,0.5711,0.5596,12
ACT-036831,CLT-030158,235092,0.3559,0.1537,0.1912,0.2251,12
ACT-036832,CLT-030158,43190,0.1647,0.0688,0.3511,0.6062,12
ACT-036833,CLT-030159,343097,0.2102,0.0024,0.3474,0.5112,11
ACT-036834,CLT-030160,67988,0.2987,0.1689,0.2035,0.1157,9
ACT-036835,CLT-030161,85785,0.2066,-0.0105,0.2730,0.3304,10
ACT-036836,CLT-030162,506384,0.0464,-0.0177,0.1929,0.1524,9
ACT-036837,CLT-030163,717257,0.0866,0.0354,0.3399,0.6143,10
ACT-036838,CLT-030164,257971,0.1243,-0.0472,0.1408,0.1224,12
ACT-036839,CLT-030164,45587,0.2760,-0.0012,0.0826,0.1321,8
ACT-036840,CLT-030165,109251,0.2377,0.0198,0.2627,0.1778,11
ACT-036841,CLT-030166,354021,0.1788,0.0104,0.1907,0.2988,11
ACT-036842,CLT-030167,118071,0.2200,-0.2395,0.2879,0.3200,12
ACT-036843,CLT-030168,200441,0.0358,0.1175,0.2373,0.2078,12
ACT-036844,CLT-030169,431155,0.1922,0.0666,0.4252,0.5531,10
ACT-036845,CLT-030170,429754,0.1601,0.1198,0.4755,0.3462,10
ACT-036846,CLT-030170,25046,0.2251,-0.1354,0.5464,0.3112,11
ACT-036847,CLT-030171,65055,0.0664,-0.1109,0.1779,0.1140,11
ACT-036848,CLT-030172,120770,0.2118,-0.0521,0.2570,0.6217,12
ACT-036849,CLT-030172,38553,0.2687,-0.0190,0.4024,0.6386,10
ACT-036850,CLT-030173,91925,0.0985,0.0620,0.1469,0.1964,12
ACT-036851,CLT-030174,264864,0.1972,-0.1296,0.0664,0.2866,12
ACT-036852,CLT-030175,105189,0.2624,0.0599,0.3885,0.5833,10
ACT-036853,CLT-030176,90260,0.2558,-0.0549,0.3609,0.4932,11
ACT-036854,CLT-030177,60140,0.0970,-0.0523,0.2162,0.2809,12
ACT-036855,CLT-030178,62529,0.1253,-0.1553,0.2169,0.2191,12
ACT-036856,CLT-030179,251446,0.2172,0.0844,0.5353,0.3395,12
ACT-036857,CLT-030180,507130,0.0305,0.0495,0.1505,0.1842,11
ACT-036858,CLT-030181,119982,0.3204,0.1032,0.3738,0.5535,11
ACT-036859,CLT-030182,80827,0.2508,0.0072,0.2636,0.2722,12
ACT-036860,CLT-030183,93381,0.1561,0.0385,0.2738,0.3450,11
ACT-036861,CLT-030183,133836,0.1537,-0.0336,0.3356,0.1858,11
ACT-036862,CLT-030184,376450,0.1430,0.0439,0.2775,0.3106,10
ACT-036863,CLT-030185,1296919,0.1750,0.0141,0.3713,0.5757,11
ACT-036864,CLT-030186,115878,0.1769,0.2368,0.1427,0.2028,12
ACT-036865,CLT-030187,239917,0.2320,0.0128,0.5493,0.1794,12
ACT-036866,CLT-030188,443029,0.2000,-0.1150,0.2763,0.3799,10
ACT-036867,CLT-030188,213802,0.3602,0.0683,0.1019,0.1627,9
ACT-036868,CLT-030189,382926,0.2410,-0.0491,0.2664,0.3654,9
ACT-036869,CLT-030190,141943,0.2657,-0.1736,0.2175,0.2936,11
ACT-036870,CLT-030191,435713,0.2274,0.1456,0.2332,0.2133,12
ACT-036871,CLT-030192,262651,0.1446,-0.1237,0.2574,0.3564,10
ACT-036872,CLT-030193,89800,0.2862,0.0356,0.3543,0.6191,10
ACT-036873,CLT-030194,25269,0.2077,0.1748,0.2120,0.2382,12
ACT-036874,CLT-030195,117717,0.4303,0.1184,0.3775,0.5784,11
ACT-036875,CLT-030195,75331,0.4892,0.1284,0.1708,0.1903,12
ACT-036876,CLT-030196,187595,0.3003,0.0002,0.1708,0.1221,10
ACT-036877,CLT-030197,288666,0.1322,0.0013,0.4769,0.1729,12
ACT-036878,CLT-030198,209941,0.2010,0.0550,0.1816,0.1767,12
ACT-036879,CLT-030199,131278,0.1686,-0.0058,0.3761,0.3867,9
ACT-036880,CLT-030200,351693,0.1926,-0.0517,0.2111,0.1778,11
ACT-036881,CLT-030200,80826,0.1411,0.0210,0.2681,0.3359,11
ACT-036882,CLT-030201,205390,0.1692,-0.0525,0.2691,0.3939,10
ACT-036883,CLT-030202,236604,0.3146,0.2655,0.1965,0.2730,12
ACT-036884,CLT-030203,112673,0.4209,-0.1375,0.3219,0.3592,11
ACT-036885,CLT-030204,158420,0.1051,0.0068,0.1539,0.3146,12
ACT-036886,CLT-030205,253671,0.1274,-0.0088,0.3272,0.4726,12
ACT-036887,CLT-030206,69386,0.3632,0.1754,0.2749,0.0823,12
ACT-036888,CLT-030207,97675,0.2572,0.2123,0.2219,0.2281,11
ACT-036889,CLT-030208,93075,0.1875,-0.0748,0.1074,0.1621,8
ACT-036890,CLT-030209,241696,0.3272,-0.1475,0.1981,0.2067,12
ACT-036891,CLT-030209,38091,0.3265,0.2315,0.1494,0.1318,9
ACT-036892,CLT-030210,151967,0.2023,-0.0386,0.2459,0.1219,12
ACT-036893,CLT-030210,38990,0.1739,0.2035,0.2649,0.5333,11
ACT-036894,CLT-030211,37047,0.3702,-0.0240,0.2262,0.1759,12
ACT-036895,CLT-030212,123789,0.1211,0.0432,0.1741,0.1507,12
ACT-036896,CLT-030212,99774,0.2268,-0.0587,0.3342,0.5003,11
ACT-036897,CLT-030213,663621,0.1125,0.0074,0.3242,0.1434,12
ACT-036898,CLT-030214,190919,0.1785,-0.1195,0.1243,0.6841,10
ACT-036899,CLT-030214,126880,0.2347,0.1489,0.0559,0.2282,12
ACT-036900,CLT-030215,193103,0.1303,0.0033,0.2535,0.2133,11
ACT-036901,CLT-030216,311906,0.2883,0.0118,0.2674,0.2795,11
ACT-036902,CLT-030216,70833,0.2078,0.0351,0.2803,0.3029,10
ACT-036903,CLT-030217,143956,0.4311,-0.0158,0.2350,0.2007,11
ACT-036904,CLT-030218,263240,0.1912,0.0650,0.2208,0.1241,11
ACT-036905,CLT-030219,284651,0.2872,0.1228,0.3917,0.6339,11
ACT-036906,CLT-030220,470932,0.1625,0.3242,0.2852,0.2215,12
ACT-036907,CLT-030221,177891,0.2672,0.1202,0.1990,0.1295,12
ACT-036908,CLT-030221,90235,0.0608,0.0575,0.2194,0.1888,11
ACT-036909,CLT-030222,136944,0.2829,0.0021,0.1674,0.1774,10
ACT-036910,CLT-030223,1582639,0.3729,-0.0774,0.2311,0.1909,11
ACT-036911,CLT-030224,77755,0.3469,-0.0031,0.2130,0.0801,10
ACT-036912,CLT-030224,194878,0.2382,-0.1618,0.2756,0.5498,11
ACT-036913,CLT-030225,251972,0.1117,-0.0627,0.1978,0.1526,12
ACT-036914,CLT-030226,192459,0.1356,-0.0199,0.2002,0.5784,12
ACT-036915,CLT-030227,349206,0.1000,-0.0768,0.2045,0.0810,11
ACT-036916,CLT-030228,350537,0.2717,0.0607,0.5603,0.2191,12
ACT-036917,CLT-030229,198292,0.2601,0.1339,0.2313,0.0906,10
ACT-036918,CLT-030230,232221,0.2415,0.2919,0.2502,0.3227,10
ACT-036919,CLT-030230,20397,0.0200,0.1996,0.1892,0.2439,12
ACT-036920,CLT-030231,282403,0.0632,0.0185,0.2523,0.1876,11
ACT-036921,CLT-030232,221018,0.0741,0.2305,0.1689,0.1953,11
ACT-036922,CLT-030233,251177,0.3375,0.1253,0.2049,0.0943,9
ACT-036923,CLT-030234,205375,0.2573,0.1365,0.1487,0.2195,11
ACT-036924,CLT-030235,280182,0.2038,-0.0289,0.1398,0.2688,12
ACT-036925,CLT-030236,188735,0.2584,-0.0640,0.3189,0.4430,12
ACT-036926,CLT-030237,83745,0.0329,0.1578,0.1570,0.1733,11
ACT-036927,CLT-030238,1049917,0.0894,0.0260,0.5089,0.2970,11
ACT-036928,CLT-030239,144333,0.2924,-0.0084,0.1366,0.1919,12
ACT-036929,CLT-030240,245571,0.1956,-0.0290,0.2252,0.5700,11
ACT-036930,CLT-030241,66597,0.3618,0.1032,0.2430,0.2764,12
ACT-036931,CLT-030242,155532,0.1890,0.0147,0.2331,0.1893,11
ACT-036932,CLT-030243,329534,0.2907,0.1415,0.1887,0.1899,12
ACT-036933,CLT-030244,76998,0.2858,-0.0348,0.1342,0.1118,8
ACT-036934,CLT-030244,373295,0.1978,0.0372,0.3660,0.1929,12
ACT-036935,CLT-030245,231823,0.0483,0.0660,0.2124,0.1609,12
ACT-036936,CLT-030246,169437,0.3019,-0.0482,0.1787,0.0612,9
ACT-036937,CLT-030247,179636,0.2727,-0.0475,0.1497,0.3150,11
ACT-036938,CLT-030247,32046,0.1372,0.0784,0.0915,0.1284,11
ACT-036939,CLT-030248,152002,0.2084,-0.0774,0.1654,0.2407,12
ACT-036940,CLT-030248,302245,0.1933,0.1028,0.2504,0.2988,12
ACT-036941,CLT-030249,424133,0.2685,0.0687,0.2080,0.1820,9
ACT-036942,CLT-030250,99965,0.2609,0.2077,0.1879,0.2230,12
ACT-036943,CLT-030251,334647,0.1159,0.1605,0.2927,0.1884,11
ACT-036944,CLT-030252,44284,0.4430,0.1764,0.3034,0.3286,9
ACT-036945,CLT-030253,403973,0.2359,-0.0375,0.0947,0.2388,12
ACT-036946,CLT-030253,49822,0.2996,-0.1191,0.1196,0.1169,10
ACT-036947,CLT-030254,335570,0.1781,0.0810,0.0524,0.1599,12
ACT-036948,CLT-030255,527980,0.2530,0.0184,0.4193,0.2008,12
ACT-036949,CLT-030256,295467,0.2485,0.0693,0.2948,0.1930,12
ACT-036950,CLT-030257,24914,0.4461,0.0760,0.2085,0.1303,8
ACT-036951,CLT-030257,35545,0.3965,-0.0002,0.1831,0.2814,11
ACT-036952,CLT-030258,155781,0.1753,0.0456,0.3662,0.5459,11
ACT-036953,CLT-030259,82649,0.0663,-0.1847,0.1694,0.3554,12
ACT-036954,CLT-030260,258155,0.0309,0.2061,0.1870,0.1727,12
ACT-036955,CLT-030261,108890,0.3911,-0.0275,0.1937,0.2459,8
ACT-036956,CLT-030262,835077,0.0409,-0.0491,0.3598,0.5717,12
ACT-036957,CLT-030263,222613,0.0732,0.0992,0.1473,0.1736,11
ACT-036958,CLT-030264,824108,0.2178,0.1121,0.1729,0.1832,12
ACT-036959,CLT-030264,12370,0.1875,-0.0297,0.2999,0.5808,12
ACT-036960,CLT-030265,603468,0.1595,0.0140,0.2661,0.1894,12
ACT-036961,CLT-030266,97025,0.3272,0.2242,0.1899,0.2412,12
ACT-036962,CLT-030267,344036,0.2074,0.0331,0.3021,0.1476,11
ACT-036963,CLT-030268,556543,0.4059,-0.0892,0.2171,0.1430,10
ACT-036964,CLT-030269,298632,0.1122,0.0092,0.1367,0.1891,12
ACT-036965,CLT-030270,177267,0.2341,0.0841,0.3268,0.5897,11
ACT-036966,CLT-030271,551649,0.3097,-0.0837,0.1715,0.2016,10
ACT-036967,CLT-030271,162000,0.1459,-0.1362,0.1687,0.1622,12
ACT-036968,CLT-030272,322927,0.2275,0.1592,0.2119,0.1841,10
ACT-036969,CLT-030273,344556,0.2161,-0.1374,0.4561,0.1965,12
ACT-036970,CLT-030274,282567,0.2196,0.1638,0.2602,0.0830,11
ACT-036971,CLT-030275,47888,0.0929,0.2270,0.4938,0.1960,12
ACT-036972,CLT-030275,349785,0.3065,-0.0878,0.5690,0.1949,8
ACT-036973,CLT-030276,300237,0.1908,-0.1107,0.3103,0.5379,10
ACT-036974,CLT-030276,302958,0.2728,0.0473,0.2186,0.2998,12
ACT-036975,CLT-030277,273150,0.3041,0.1899,0.2161,0.2525,11
ACT-036976,CLT-030278,330855,0.2147,0.0904,0.5653,0.2015,12
ACT-036977,CLT-030278,41516,0.1412,-0.1248,0.4548,0.5753,12
ACT-036978,CLT-030279,209107,0.0906,0.0354,0.1290,0.1566,12
ACT-036979,CLT-030280,295690,0.0678,0.0109,0.1530,0.6913,12
ACT-036980,CLT-030281,809534,0.1900,0.0064,0.1671,0.1883,12
ACT-036981,CLT-030282,308660,0.0610,-0.0296,0.1429,0.6047,12
ACT-036982,CLT-030283,145924,0.2740,-0.0199,0.2296,0.2250,12
ACT-036983,CLT-030284,88891,0.2073,-0.0249,0.1716,0.2113,11
ACT-036984,CLT-030285,225430,0.2967,-0.1665,0.2845,0.1912,12
ACT-036985,CLT-030286,176255,0.0849,0.0483,0.1657,0.2496,11
ACT-036986,CLT-030287,539573,0.0856,0.0426,0.3343,0.1108,12
ACT-036987,CLT-030288,401186,0.2338,0.1427,0.0563,0.3986,10
ACT-036988,CLT-030288,43740,0.2086,-0.0802,0.1434,0.1231,10
ACT-036989,CLT-030289,344821,0.2215,0.0203,0.4868,0.2807,11
ACT-036990,CLT-030290,156095,0.0730,0.2567,0.1939,0.2390,11
ACT-036991,CLT-030291,146257,0.1841,-0.0163,0.2497,0.2091,11
ACT-036992,CLT-030291,53373,0.1754,-0.0046,0.3592,0.3816,11
ACT-036993,CLT-030292,109347,0.2973,0.0326,0.0636,0.1496,8
ACT-036994,CLT-030293,271248,0.1287,0.0173,0.1670,0.1554,12
ACT-036995,CLT-030294,590024,0.1417,-0.1399,0.1487,0.2090,12
ACT-036996,CLT-030295,127892,0.0738,0.0413,0.1416,0.1966,12
ACT-036997,CLT-030296,786260,0.0967,-0.0093,0.2605,0.1502,12
ACT-036998,CLT-030297,508412,0.0464,0.0292,0.1370,0.1638,12
ACT-036999,CLT-030298,51261,0.4663,0.0382,0.2058,0.1892,12
ACT-037000,CLT-030299,239681,0.1106,-0.1161,0.1856,0.2289,12
ACT-037001,CLT-030300,348653,0.1003,0.0311,0.1541,0.2438,12
ACT-037002,CLT-030301,134403,0.1485,0.1632,0.1323,0.2147,12
ACT-037003,CLT-030301,39930,0.2490,0.2342,0.1804,0.3683,10
ACT-037004,CLT-030302,400759,0.1890,-0.1784,0.4948,0.5291,12
ACT-037005,CLT-030303,497022,0.0486,-0.1214,0.1622,0.2334,11
ACT-037006,CLT-030304,217656,0.1693,0.3500,0.2955,0.2246,11
ACT-037007,CLT-030305,39835,0.3885,-0.0698,0.1532,0.1770,8
ACT-037008,CLT-030306,41650,0.4089,-0.1231,0.1629,0.2994,12
ACT-037009,CLT-030307,425197,0.2406,0.0439,0.2815,0.4894,12
ACT-037010,CLT-030308,118570,0.2431,-0.0492,0.2363,0.2059,9
ACT-037011,CLT-030309,219563,0.2352,0.0970,0.1002,0.2003,9
ACT-037012,CLT-030310,100956,0.1291,0.1564,0.0594,0.1262,12
ACT-037013,CLT-030311,540526,0.0200,-0.0464,0.2422,0.2682,12
ACT-037014,CLT-030312,476520,0.1834,-0.1159,0.2379,0.3179,9
ACT-037015,CLT-030313,1051258,0.0879,0.0592,0.3054,0.1409,12
ACT-037016,CLT-030314,82920,0.1875,-0.0332,0.2124,0.2736,11
ACT-037017,CLT-030315,60853,0.3632,0.1416,0.3034,0.3343,10
ACT-037018,CLT-030315,6704,0.4618,0.0338,0.2340,0.2124,11
ACT-037019,CLT-030316,113603,0.2618,0.1243,0.2071,0.3262,11
ACT-037020,CLT-030316,147028,0.2429,-0.0439,0.3212,0.5350,11
