identifiant_decision,identifiant_demande,identifiant_institution,date_decision,statut,motif_principal,montant_accorde,duree_accordee_mois
DEC-027092,DEM-027092,INS-003,2024-10-27,ACCEPTEE,,210000,6
DEC-027093,DEM-027093,INS-003,2025-09-03,ACCEPTEE,,235000,12
DEC-027094,DEM-027094,INS-003,2024-06-10,ACCEPTEE,,375000,6
DEC-027095,DEM-027095,INS-003,2024-05-25,REFUSEE,capacite_insuffisante,,
DEC-027096,DEM-027096,INS-003,2025-05-29,ACCEPTEE,,460000,24
DEC-027097,DEM-027097,INS-003,2024-05-22,ACCEPTEE,,455000,9
DEC-027098,DEM-027098,INS-003,2025-12-03,ACCEPTEE,,1010000,15
DEC-027099,DEM-027099,INS-003,2025-03-21,ACCEPTEE,,250000,6
DEC-027100,DEM-027100,INS-003,2024-03-27,ACCEPTEE,,250000,9
DEC-027101,DEM-027101,INS-003,2025-11-26,ACCEPTEE,,200000,9
DEC-027102,DEM-027102,INS-003,2025-07-28,REFUSEE,capacite_insuffisante,,
DEC-027103,DEM-027103,INS-003,2024-11-01,ACCEPTEE,,250000,6
DEC-027104,DEM-027104,INS-003,2024-10-23,ACCEPTEE,,250000,9
DEC-027105,DEM-027105,INS-003,2024-08-19,ANNULEE_CLIENT,,,
DEC-027106,DEM-027106,INS-003,2025-04-24,REFUSEE,capacite_insuffisante,,
DEC-027107,DEM-027107,INS-003,2024-10-21,ACCEPTEE,,600000,3
DEC-027108,DEM-027108,INS-003,2025-03-02,ACCEPTEE,,790000,12
DEC-027109,DEM-027109,INS-003,2024-05-26,ACCEPTEE,,315000,12
DEC-027110,DEM-027110,INS-003,2025-05-23,ACCEPTEE,,600000,12
DEC-027111,DEM-027111,INS-003,2024-09-10,ACCEPTEE,,150000,12
DEC-027112,DEM-027112,INS-003,2024-07-15,ACCEPTEE,,250000,9
DEC-027113,DEM-027113,INS-003,2025-08-25,ACCEPTEE,,440000,12
DEC-027114,DEM-027114,INS-003,2024-05-02,ANNULEE_CLIENT,,,
DEC-027115,DEM-027115,INS-003,2024-08-24,REFUSEE,capacite_insuffisante,,
DEC-027116,DEM-027116,INS-003,2025-01-28,ACCEPTEE,,150000,15
DEC-027117,DEM-027117,INS-003,2025-04-04,ACCEPTEE,,250000,6
DEC-027118,DEM-027118,INS-003,2025-03-23,REFUSEE,capacite_insuffisante,,
DEC-027119,DEM-027119,INS-003,2025-08-04,ANNULEE_CLIENT,,,
DEC-027120,DEM-027120,INS-003,2024-02-12,ACCEPTEE,,1160000,12
DEC-027121,DEM-027121,INS-003,2025-04-04,ACCEPTEE,,195000,24
DEC-027122,DEM-027122,INS-003,2024-10-28,REFUSEE,capacite_insuffisante,,
DEC-027123,DEM-027123,INS-003,2025-02-27,ACCEPTEE,,395000,9
DEC-027124,DEM-027124,INS-003,2024-08-15,ACCEPTEE,,990000,24
DEC-027125,DEM-027125,INS-003,2025-11-27,ACCEPTEE,,550000,12
DEC-027126,DEM-027126,INS-003,2025-10-25,REFUSEE,capacite_insuffisante,,
DEC-027127,DEM-027127,INS-003,2024-07-20,ACCEPTEE,,250000,9
DEC-027128,DEM-027128,INS-003,2024-04-01,REFUSEE,capacite_insuffisante,,
DEC-027129,DEM-027129,INS-003,2024-07-02,ACCEPTEE,,355000,15
DEC-027130,DEM-027130,INS-003,2025-10-31,ACCEPTEE,,935000,18
DEC-027131,DEM-027131,INS-003,2024-04-04,REFUSEE,capacite_insuffisante,,
DEC-027132,DEM-027132,INS-003,2025-03-22,REFUSEE,capacite_insuffisante,,
DEC-027133,DEM-027133,INS-003,2024-08-26,ACCEPTEE,,455000,6
DEC-027134,DEM-027134,INS-003,2025-07-10,ACCEPTEE,,1500000,12
DEC-027135,DEM-027135,INS-003,2025-03-15,ACCEPTEE,,175000,9
DEC-027136,DEM-027136,INS-003,2025-08-17,REFUSEE,capacite_insuffisante,,
DEC-027137,DEM-027137,INS-003,2025-06-11,REFUSEE,endettement_eleve,,
DEC-027138,DEM-027138,INS-003,2025-10-10,ACCEPTEE,,695000,12
DEC-027139,DEM-027139,INS-003,2024-08-02,ACCEPTEE,,600000,12
DEC-027140,DEM-027140,INS-003,2025-08-28,REFUSEE,capacite_insuffisante,,
DEC-027141,DEM-027141,INS-003,2025-05-03,ACCEPTEE,,250000,9
DEC-027142,DEM-027142,INS-003,2025-02-02,REFUSEE,capacite_insuffisante,,
DEC-027143,DEM-027143,INS-003,2025-06-10,ACCEPTEE,,215000,24
DEC-027144,DEM-027144,INS-003,2024-04-26,ACCEPTEE,,1345000,24
DEC-027145,DEM-027145,INS-003,2025-07-13,REFUSEE,endettement_eleve,,
DEC-027146,DEM-027146,INS-003,2024-05-08,ACCEPTEE,,380000,9
DEC-027147,DEM-027147,INS-003,2025-09-10,ACCEPTEE,,265000,9
DEC-027148,DEM-027148,INS-003,2024-06-21,ACCEPTEE,,1200000,12
DEC-027149,DEM-027149,INS-003,2025-11-03,REFUSEE,capacite_insuffisante,,
DEC-027150,DEM-027150,INS-003,2024-09-13,REFUSEE,capacite_insuffisante,,
DEC-027151,DEM-027151,INS-003,2024-10-23,ACCEPTEE,,920000,12
DEC-027152,DEM-027152,INS-003,2025-02-27,ACCEPTEE,,950000,12
DEC-027153,DEM-027153,INS-003,2024-11-25,ACCEPTEE,,600000,12
DEC-027154,DEM-027154,INS-003,2024-06-15,ACCEPTEE,,730000,12
DEC-027155,DEM-027155,INS-003,2024-06-02,REFUSEE,capacite_insuffisante,,
DEC-027156,DEM-027156,INS-003,2024-03-17,REFUSEE,capacite_insuffisante,,
DEC-027157,DEM-027157,INS-003,2024-12-09,REFUSEE,capacite_insuffisante,,
DEC-027158,DEM-027158,INS-003,2025-11-07,ACCEPTEE,,150000,12
DEC-027159,DEM-027159,INS-003,2024-05-20,ACCEPTEE,,520000,12
DEC-027160,DEM-027160,INS-003,2025-04-02,ACCEPTEE,,50000,6
DEC-027161,DEM-027161,INS-003,2024-05-12,ACCEPTEE,,910000,18
DEC-027162,DEM-027162,INS-003,2025-12-03,ACCEPTEE,,90000,9
DEC-027163,DEM-027163,INS-003,2024-03-23,ACCEPTEE,,160000,6
DEC-027164,DEM-027164,INS-003,2025-01-12,ACCEPTEE,,250000,9
DEC-027165,DEM-027165,INS-003,2024-05-07,ACCEPTEE,,345000,6
DEC-027166,DEM-027166,INS-003,2025-08-20,ACCEPTEE,,240000,18
DEC-027167,DEM-027167,INS-003,2024-12-02,ACCEPTEE,,205000,6
DEC-027168,DEM-027168,INS-003,2024-05-13,ACCEPTEE,,600000,6
DEC-027169,DEM-027169,INS-003,2025-06-22,ACCEPTEE,,90000,6
DEC-027170,DEM-027170,INS-003,2025-03-22,REFUSEE,endettement_eleve,,
DEC-027171,DEM-027171,INS-003,2025-04-18,ACCEPTEE,,200000,9
DEC-027172,DEM-027172,INS-003,2024-04-05,REFUSEE,capacite_insuffisante,,
DEC-027173,DEM-027173,INS-003,2025-11-16,ACCEPTEE,,440000,12
DEC-027174,DEM-027174,INS-003,2024-03-19,ACCEPTEE,,160000,9
DEC-027175,DEM-027175,INS-003,2024-04-07,ACCEPTEE,,280000,6
DEC-027176,DEM-027176,INS-003,2025-02-12,ACCEPTEE,,300000,9
DEC-027177,DEM-027177,INS-003,2024-06-07,ACCEPTEE,,110000,6
DEC-027178,DEM-027178,INS-003,2025-01-14,REFUSEE,capacite_insuffisante,,
DEC-027179,DEM-027179,INS-003,2024-10-18,REFUSEE,endettement_eleve,,
DEC-027180,DEM-027180,INS-003,2024-11-30,ACCEPTEE,,275000,12
DEC-027181,DEM-027181,INS-003,2024-07-01,ACCEPTEE,,25000,3
DEC-027182,DEM-027182,INS-003,2024-10-27,ACCEPTEE,,145000,6
DEC-027183,DEM-027183,INS-003,2025-08-29,ACCEPTEE,,100000,6
DEC-027184,DEM-027184,INS-003,2024-05-24,ACCEPTEE,,515000,9
DEC-027185,DEM-027185,INS-003,2025-03-31,ACCEPTEE,,920000,18
DEC-027186,DEM-027186,INS-003,2024-07-11,REFUSEE,garantie_insuffisante,,
DEC-027187,DEM-027187,INS-003,2024-11-24,ACCEPTEE,,1500000,12
DEC-027188,DEM-027188,INS-003,2025-03-25,REFUSEE,capacite_insuffisante,,
DEC-027189,DEM-027189,INS-003,2025-03-28,REFUSEE,endettement_eleve,,
DEC-027190,DEM-027190,INS-003,2025-11-10,ANNULEE_CLIENT,,,
DEC-027191,DEM-027191,INS-003,2025-04-28,ACCEPTEE,,800000,24
DEC-027192,DEM-027192,INS-003,2025-06-28,ACCEPTEE,,250000,9
DEC-027193,DEM-027193,INS-003,2024-07-22,ACCEPTEE,,600000,12
DEC-027194,DEM-027194,INS-003,2024-04-24,ACCEPTEE,,290000,12
DEC-027195,DEM-027195,INS-003,2025-02-20,REFUSEE,capacite_insuffisante,,
DEC-027196,DEM-027196,INS-003,2025-11-21,ACCEPTEE,,270000,6
DEC-027197,DEM-027197,INS-003,2025-06-30,AJOURNEE,dossier_incomplet,,
DEC-027198,DEM-027198,INS-003,2025-10-30,REFUSEE,capacite_insuffisante,,
DEC-027199,DEM-027199,INS-003,2025-05-24,REFUSEE,capacite_insuffisante,,
DEC-027200,DEM-027200,INS-003,2025-09-25,ACCEPTEE,,510000,6
DEC-027201,DEM-027201,INS-003,2025-06-27,ACCEPTEE,,250000,6
DEC-027202,DEM-027202,INS-003,2024-03-17,ACCEPTEE,,115000,12
DEC-027203,DEM-027203,INS-003,2025-09-23,ACCEPTEE,,30000,3
DEC-027204,DEM-027204,INS-003,2024-06-19,REFUSEE,capacite_insuffisante,,
DEC-027205,DEM-027205,INS-003,2024-12-10,ACCEPTEE,,300000,12
DEC-027206,DEM-027206,INS-003,2025-10-10,ACCEPTEE,,150000,12
DEC-027207,DEM-027207,INS-003,2024-10-04,ACCEPTEE,,250000,3
DEC-027208,DEM-027208,INS-003,2025-10-18,ACCEPTEE,,590000,12
DEC-027209,DEM-027209,INS-003,2024-07-02,ACCEPTEE,,480000,18
DEC-027210,DEM-027210,INS-003,2024-11-24,ACCEPTEE,,285000,9
DEC-027211,DEM-027211,INS-003,2025-10-20,REFUSEE,capacite_insuffisante,,
DEC-027212,DEM-027212,INS-003,2024-05-31,REFUSEE,capacite_insuffisante,,
DEC-027213,DEM-027213,INS-003,2024-07-18,ACCEPTEE,,165000,9
DEC-027214,DEM-027214,INS-003,2025-04-17,ACCEPTEE,,50000,9
DEC-027215,DEM-027215,INS-003,2024-07-21,ACCEPTEE,,1500000,18
DEC-027216,DEM-027216,INS-003,2025-04-18,REFUSEE,capacite_insuffisante,,
DEC-027217,DEM-027217,INS-003,2024-12-19,ACCEPTEE,,1500000,12
DEC-027218,DEM-027218,INS-003,2024-04-15,ACCEPTEE,,1055000,12
DEC-027219,DEM-027219,INS-003,2024-06-24,REFUSEE,capacite_insuffisante,,
DEC-027220,DEM-027220,INS-003,2025-05-28,ACCEPTEE,,95000,6
DEC-027221,DEM-027221,INS-003,2024-09-25,ACCEPTEE,,205000,6
DEC-027222,DEM-027222,INS-003,2025-05-27,ACCEPTEE,,460000,12
DEC-027223,DEM-027223,INS-003,2024-09-28,ACCEPTEE,,185000,12
DEC-027224,DEM-027224,INS-003,2025-03-24,REFUSEE,endettement_eleve,,
DEC-027225,DEM-027225,INS-003,2025-03-28,ACCEPTEE,,55000,6
DEC-027226,DEM-027226,INS-003,2024-06-21,ACCEPTEE,,175000,24
DEC-027227,DEM-027227,INS-003,2025-07-05,REFUSEE,endettement_eleve,,
DEC-027228,DEM-027228,INS-003,2025-07-01,ACCEPTEE,,150000,12
DEC-027229,DEM-027229,INS-003,2025-05-17,REFUSEE,endettement_eleve,,
DEC-027230,DEM-027230,INS-003,2024-12-06,ACCEPTEE,,150000,12
DEC-027231,DEM-027231,INS-003,2025-11-18,ACCEPTEE,,150000,24
DEC-027232,DEM-027232,INS-003,2024-09-21,ACCEPTEE,,1500000,21
DEC-027233,DEM-027233,INS-003,2025-06-19,REFUSEE,endettement_eleve,,
DEC-027234,DEM-027234,INS-003,2024-08-13,ACCEPTEE,,240000,24
DEC-027235,DEM-027235,INS-003,2025-06-25,ACCEPTEE,,150000,15
DEC-027236,DEM-027236,INS-003,2024-11-17,REFUSEE,capacite_insuffisante,,
DEC-027237,DEM-027237,INS-003,2025-03-08,REFUSEE,capacite_insuffisante,,
DEC-027238,DEM-027238,INS-003,2024-08-28,ANNULEE_CLIENT,,,
DEC-027239,DEM-027239,INS-003,2024-12-24,ACCEPTEE,,175000,9
DEC-027240,DEM-027240,INS-003,2024-09-07,ACCEPTEE,,250000,9
DEC-027241,DEM-027241,INS-003,2024-04-26,ACCEPTEE,,1185000,24
DEC-027242,DEM-027242,INS-003,2024-08-21,REFUSEE,capacite_insuffisante,,
DEC-027243,DEM-027243,INS-003,2024-04-16,ACCEPTEE,,155000,9
DEC-027244,DEM-027244,INS-003,2025-03-30,REFUSEE,capacite_insuffisante,,
DEC-027245,DEM-027245,INS-003,2025-06-29,ACCEPTEE,,600000,6
DEC-027246,DEM-027246,INS-003,2024-09-25,REFUSEE,endettement_eleve,,
DEC-027247,DEM-027247,INS-003,2025-02-20,ANNULEE_CLIENT,,,
DEC-027248,DEM-027248,INS-003,2025-07-06,REFUSEE,capacite_insuffisante,,
DEC-027249,DEM-027249,INS-003,2024-06-20,REFUSEE,capacite_insuffisante,,
DEC-027250,DEM-027250,INS-003,2024-10-08,ACCEPTEE,,730000,18
DEC-027251,DEM-027251,INS-003,2024-06-25,ACCEPTEE,,1270000,12
DEC-027252,DEM-027252,INS-003,2025-01-25,REFUSEE,capacite_insuffisante,,
DEC-027253,DEM-027253,INS-003,2024-06-14,ACCEPTEE,,1500000,12
DEC-027254,DEM-027254,INS-003,2025-07-24,REFUSEE,endettement_eleve,,
DEC-027255,DEM-027255,INS-003,2024-08-31,REFUSEE,capacite_insuffisante,,
DEC-027256,DEM-027256,INS-003,2025-06-10,REFUSEE,capacite_insuffisante,,
DEC-027257,DEM-027257,INS-003,2024-12-19,ACCEPTEE,,225000,6
DEC-027258,DEM-027258,INS-003,2025-06-20,REFUSEE,endettement_eleve,,
DEC-027259,DEM-027259,INS-003,2024-04-25,REFUSEE,capacite_insuffisante,,
DEC-027260,DEM-027260,INS-003,2025-05-07,ACCEPTEE,,530000,15
DEC-027261,DEM-027261,INS-003,2025-02-16,ACCEPTEE,,345000,12
DEC-027262,DEM-027262,INS-003,2025-02-19,ACCEPTEE,,300000,15
DEC-027263,DEM-027263,INS-003,2025-10-29,REFUSEE,capacite_insuffisante,,
DEC-027264,DEM-027264,INS-003,2025-05-20,REFUSEE,capacite_insuffisante,,
DEC-027265,DEM-027265,INS-003,2025-11-01,ACCEPTEE,,150000,12
DEC-027266,DEM-027266,INS-003,2024-10-19,REFUSEE,endettement_eleve,,
DEC-027267,DEM-027267,INS-003,2025-07-03,REFUSEE,endettement_eleve,,
DEC-027268,DEM-027268,INS-003,2025-11-26,REFUSEE,endettement_eleve,,
DEC-027269,DEM-027269,INS-003,2024-08-13,ACCEPTEE,,325000,9
DEC-027270,DEM-027270,INS-003,2025-08-12,AJOURNEE,dossier_incomplet,,
DEC-027271,DEM-027271,INS-003,2024-05-04,ACCEPTEE,,395000,12
DEC-027272,DEM-027272,INS-003,2025-07-02,ACCEPTEE,,1500000,12
DEC-027273,DEM-027273,INS-003,2025-08-05,REFUSEE,capacite_insuffisante,,
DEC-027274,DEM-027274,INS-003,2024-08-24,ACCEPTEE,,600000,12
DEC-027275,DEM-027275,INS-003,2024-09-23,ACCEPTEE,,250000,9
DEC-027276,DEM-027276,INS-003,2025-06-11,REFUSEE,capacite_insuffisante,,
DEC-027277,DEM-027277,INS-003,2024-12-20,ACCEPTEE,,525000,12
DEC-027278,DEM-027278,INS-003,2025-02-27,ACCEPTEE,,215000,9
DEC-027279,DEM-027279,INS-003,2025-10-24,ACCEPTEE,,220000,12
DEC-027280,DEM-027280,INS-003,2024-07-22,REFUSEE,capacite_insuffisante,,
DEC-027281,DEM-027281,INS-003,2025-08-08,REFUSEE,capacite_insuffisante,,
DEC-027282,DEM-027282,INS-003,2024-10-19,ACCEPTEE,,250000,9
DEC-027283,DEM-027283,INS-003,2025-09-19,ACCEPTEE,,250000,6
DEC-027284,DEM-027284,INS-003,2024-09-02,REFUSEE,capacite_insuffisante,,
DEC-027285,DEM-027285,INS-003,2025-03-14,REFUSEE,capacite_insuffisante,,
DEC-027286,DEM-027286,INS-003,2024-08-22,REFUSEE,capacite_insuffisante,,
DEC-027287,DEM-027287,INS-003,2025-03-23,REFUSEE,endettement_eleve,,
DEC-027288,DEM-027288,INS-003,2025-06-21,ACCEPTEE,,600000,12
DEC-027289,DEM-027289,INS-003,2025-01-26,ACCEPTEE,,30000,6
DEC-027290,DEM-027290,INS-003,2025-02-24,ACCEPTEE,,270000,18
DEC-027291,DEM-027291,INS-003,2024-06-13,ACCEPTEE,,170000,6
DEC-027292,DEM-027292,INS-003,2025-08-28,ACCEPTEE,,600000,12
DEC-027293,DEM-027293,INS-003,2025-07-15,ACCEPTEE,,190000,15
DEC-027294,DEM-027294,INS-003,2025-04-27,ACCEPTEE,,55000,12
DEC-027295,DEM-027295,INS-003,2025-11-30,REFUSEE,endettement_eleve,,
DEC-027296,DEM-027296,INS-003,2025-06-16,ACCEPTEE,,175000,9
DEC-027297,DEM-027297,INS-003,2025-07-04,ACCEPTEE,,715000,18
DEC-027298,DEM-027298,INS-003,2025-03-22,REFUSEE,capacite_insuffisante,,
DEC-027299,DEM-027299,INS-003,2024-05-31,REFUSEE,capacite_insuffisante,,
DEC-027300,DEM-027300,INS-003,2025-06-16,ACCEPTEE,,150000,15
DEC-027301,DEM-027301,INS-003,2025-07-04,ACCEPTEE,,50000,3
DEC-027302,DEM-027302,INS-003,2024-04-13,REFUSEE,capacite_insuffisante,,
DEC-027303,DEM-027303,INS-003,2025-03-19,ACCEPTEE,,305000,18
DEC-027304,DEM-027304,INS-003,2024-04-19,ACCEPTEE,,600000,9
DEC-027305,DEM-027305,INS-003,2025-02-03,ACCEPTEE,,25000,3
DEC-027306,DEM-027306,INS-003,2024-08-16,ANNULEE_CLIENT,,,
DEC-027307,DEM-027307,INS-003,2024-04-24,ACCEPTEE,,250000,6
DEC-027308,DEM-027308,INS-003,2025-03-14,REFUSEE,capacite_insuffisante,,
DEC-027309,DEM-027309,INS-003,2025-11-23,REFUSEE,capacite_insuffisante,,
DEC-027310,DEM-027310,INS-003,2024-09-08,REFUSEE,capacite_insuffisante,,
DEC-027311,DEM-027311,INS-003,2025-08-05,REFUSEE,capacite_insuffisante,,
DEC-027312,DEM-027312,INS-003,2025-11-15,ACCEPTEE,,250000,6
DEC-027313,DEM-027313,INS-003,2024-12-05,REFUSEE,capacite_insuffisante,,
DEC-027314,DEM-027314,INS-003,2025-07-30,AJOURNEE,dossier_incomplet,,
DEC-027315,DEM-027315,INS-003,2024-10-13,REFUSEE,dossier_incomplet,,
DEC-027316,DEM-027316,INS-003,2025-11-22,ACCEPTEE,,285000,12
DEC-027317,DEM-027317,INS-003,2025-02-19,ACCEPTEE,,235000,12
DEC-027318,DEM-027318,INS-003,2024-10-25,REFUSEE,capacite_insuffisante,,
DEC-027319,DEM-027319,INS-003,2024-07-24,ACCEPTEE,,600000,12
DEC-027320,DEM-027320,INS-003,2025-05-31,ACCEPTEE,,1040000,15
DEC-027321,DEM-027321,INS-003,2024-08-19,ACCEPTEE,,410000,12
DEC-027322,DEM-027322,INS-003,2024-06-24,ACCEPTEE,,430000,12
DEC-027323,DEM-027323,INS-003,2025-11-01,ACCEPTEE,,185000,6
DEC-027324,DEM-027324,INS-003,2024-10-04,ACCEPTEE,,880000,12
DEC-027325,DEM-027325,INS-003,2025-07-30,ACCEPTEE,,1290000,18
DEC-027326,DEM-027326,INS-003,2025-01-27,ACCEPTEE,,250000,9
DEC-027327,DEM-027327,INS-003,2024-11-28,ACCEPTEE,,100000,3
DEC-027328,DEM-027328,INS-003,2025-07-07,ACCEPTEE,,205000,6
DEC-027329,DEM-027329,INS-003,2025-07-04,REFUSEE,capacite_insuffisante,,
DEC-027330,DEM-027330,INS-003,2025-11-14,REFUSEE,capacite_insuffisante,,
DEC-027331,DEM-027331,INS-003,2025-08-30,REFUSEE,capacite_insuffisante,,
DEC-027332,DEM-027332,INS-003,2025-01-21,REFUSEE,endettement_eleve,,
DEC-027333,DEM-027333,INS-003,2024-05-08,REFUSEE,capacite_insuffisante,,
DEC-027334,DEM-027334,INS-003,2024-07-30,ACCEPTEE,,370000,6
DEC-027335,DEM-027335,INS-003,2024-05-03,ACCEPTEE,,175000,6
DEC-027336,DEM-027336,INS-003,2025-01-23,REFUSEE,capacite_insuffisante,,
DEC-027337,DEM-027337,INS-003,2024-12-19,REFUSEE,capacite_insuffisante,,
DEC-027338,DEM-027338,INS-003,2025-09-02,REFUSEE,capacite_insuffisante,,
DEC-027339,DEM-027339,INS-003,2024-11-07,REFUSEE,endettement_eleve,,
DEC-027340,DEM-027340,INS-003,2025-09-30,ACCEPTEE,,95000,12
DEC-027341,DEM-027341,INS-003,2024-04-16,ACCEPTEE,,665000,12
DEC-027342,DEM-027342,INS-003,2025-11-05,ACCEPTEE,,445000,24
DEC-027343,DEM-027343,INS-003,2025-12-08,REFUSEE,capacite_insuffisante,,
DEC-027344,DEM-027344,INS-003,2025-08-27,ACCEPTEE,,250000,9
DEC-027345,DEM-027345,INS-003,2024-06-22,REFUSEE,capacite_insuffisante,,
DEC-027346,DEM-027346,INS-003,2025-10-17,REFUSEE,capacite_insuffisante,,
DEC-027347,DEM-027347,INS-003,2025-02-06,ACCEPTEE,,595000,12
DEC-027348,DEM-027348,INS-003,2024-07-12,ACCEPTEE,,135000,6
DEC-027349,DEM-027349,INS-003,2025-10-04,ACCEPTEE,,530000,15
DEC-027350,DEM-027350,INS-003,2024-12-30,ACCEPTEE,,425000,6
DEC-027351,DEM-027351,INS-003,2025-11-04,ACCEPTEE,,600000,12
DEC-027352,DEM-027352,INS-003,2025-07-08,REFUSEE,capacite_insuffisante,,
DEC-027353,DEM-027353,INS-003,2025-01-22,AJOURNEE,dossier_incomplet,,
DEC-027354,DEM-027354,INS-003,2025-07-31,ACCEPTEE,,150000,24
DEC-027355,DEM-027355,INS-003,2024-05-28,REFUSEE,capacite_insuffisante,,
DEC-027356,DEM-027356,INS-003,2024-09-28,ACCEPTEE,,290000,12
DEC-027357,DEM-027357,INS-003,2024-12-12,ACCEPTEE,,1045000,12
DEC-027358,DEM-027358,INS-003,2024-06-13,ACCEPTEE,,940000,24
DEC-027359,DEM-027359,INS-003,2025-09-23,ACCEPTEE,,310000,12
DEC-027360,DEM-027360,INS-003,2024-07-07,REFUSEE,capacite_insuffisante,,
DEC-027361,DEM-027361,INS-003,2024-12-15,ACCEPTEE,,1500000,12
DEC-027362,DEM-027362,INS-003,2025-03-23,ACCEPTEE,,270000,12
DEC-027363,DEM-027363,INS-003,2025-06-12,REFUSEE,capacite_insuffisante,,
DEC-027364,DEM-027364,INS-003,2025-10-25,ACCEPTEE,,450000,12
DEC-027365,DEM-027365,INS-003,2024-04-26,REFUSEE,capacite_insuffisante,,
DEC-027366,DEM-027366,INS-003,2025-06-28,ACCEPTEE,,365000,15
DEC-027367,DEM-027367,INS-003,2024-04-30,AJOURNEE,dossier_incomplet,,
DEC-027368,DEM-027368,INS-003,2024-06-30,ACCEPTEE,,75000,6
DEC-027369,DEM-027369,INS-003,2025-09-17,ACCEPTEE,,310000,18
DEC-027370,DEM-027370,INS-003,2025-07-21,AJOURNEE,dossier_incomplet,,
DEC-027371,DEM-027371,INS-003,2024-06-24,ACCEPTEE,,250000,9
DEC-027372,DEM-027372,INS-003,2025-10-13,REFUSEE,capacite_insuffisante,,
DEC-027373,DEM-027373,INS-003,2025-06-19,ACCEPTEE,,250000,9
DEC-027374,DEM-027374,INS-003,2025-06-20,REFUSEE,endettement_eleve,,
DEC-027375,DEM-027375,INS-003,2024-10-19,ACCEPTEE,,90000,6
DEC-027376,DEM-027376,INS-003,2025-07-05,ACCEPTEE,,250000,12
DEC-027377,DEM-027377,INS-003,2024-08-27,ACCEPTEE,,155000,3
DEC-027378,DEM-027378,INS-003,2024-11-20,ACCEPTEE,,250000,9
DEC-027379,DEM-027379,INS-003,2025-11-29,ACCEPTEE,,530000,12
DEC-027380,DEM-027380,INS-003,2025-03-16,REFUSEE,endettement_eleve,,
DEC-027381,DEM-027381,INS-003,2024-06-04,REFUSEE,garantie_insuffisante,,
DEC-027382,DEM-027382,INS-003,2025-02-04,ACCEPTEE,,250000,9
DEC-027383,DEM-027383,INS-003,2024-07-03,ACCEPTEE,,160000,12
DEC-027384,DEM-027384,INS-003,2025-01-23,ACCEPTEE,,250000,9
DEC-027385,DEM-027385,INS-003,2025-11-25,REFUSEE,capacite_insuffisante,,
DEC-027386,DEM-027386,INS-003,2024-06-15,ACCEPTEE,,600000,12
DEC-027387,DEM-027387,INS-003,2025-01-30,ACCEPTEE,,585000,6
DEC-027388,DEM-027388,INS-003,2025-03-21,ACCEPTEE,,150000,12
DEC-027389,DEM-027389,INS-003,2024-10-21,ACCEPTEE,,295000,3
DEC-027390,DEM-027390,INS-003,2025-02-03,ACCEPTEE,,265000,9
DEC-027391,DEM-027391,INS-003,2025-11-13,ACCEPTEE,,50000,3
DEC-027392,DEM-027392,INS-003,2024-07-07,ACCEPTEE,,150000,12
DEC-027393,DEM-027393,INS-003,2025-03-18,ACCEPTEE,,150000,12
DEC-027394,DEM-027394,INS-003,2025-02-07,ACCEPTEE,,445000,9
DEC-027395,DEM-027395,INS-003,2024-05-14,ACCEPTEE,,1500000,18
DEC-027396,DEM-027396,INS-003,2025-02-28,REFUSEE,endettement_eleve,,
DEC-027397,DEM-027397,INS-003,2024-06-22,ACCEPTEE,,1050000,12
DEC-027398,DEM-027398,INS-003,2025-03-02,REFUSEE,endettement_eleve,,
DEC-027399,DEM-027399,INS-003,2025-02-21,REFUSEE,endettement_eleve,,
DEC-027400,DEM-027400,INS-003,2025-08-26,REFUSEE,capacite_insuffisante,,
DEC-027401,DEM-027401,INS-003,2024-07-03,ACCEPTEE,,185000,6
DEC-027402,DEM-027402,INS-003,2025-09-25,REFUSEE,garantie_insuffisante,,
DEC-027403,DEM-027403,INS-003,2025-04-16,REFUSEE,capacite_insuffisante,,
DEC-027404,DEM-027404,INS-003,2024-06-19,ACCEPTEE,,420000,12
DEC-027405,DEM-027405,INS-003,2025-05-11,ACCEPTEE,,195000,9
DEC-027406,DEM-027406,INS-003,2024-07-29,ACCEPTEE,,600000,9
DEC-027407,DEM-027407,INS-003,2025-02-03,ACCEPTEE,,250000,9
DEC-027408,DEM-027408,INS-003,2025-02-02,REFUSEE,capacite_insuffisante,,
DEC-027409,DEM-027409,INS-003,2025-07-29,ACCEPTEE,,420000,12
DEC-027410,DEM-027410,INS-003,2025-03-09,ACCEPTEE,,25000,9
DEC-027411,DEM-027411,INS-003,2025-08-04,ACCEPTEE,,460000,15
DEC-027412,DEM-027412,INS-003,2025-08-17,ACCEPTEE,,250000,3
DEC-027413,DEM-027413,INS-003,2025-09-07,ANNULEE_CLIENT,,,
DEC-027414,DEM-027414,INS-003,2024-09-19,ACCEPTEE,,1500000,24
DEC-027415,DEM-027415,INS-003,2024-07-19,ACCEPTEE,,830000,6
DEC-027416,DEM-027416,INS-003,2025-07-24,ACCEPTEE,,250000,6
DEC-027417,DEM-027417,INS-003,2025-09-16,ACCEPTEE,,355000,12
DEC-027418,DEM-027418,INS-003,2025-05-12,ACCEPTEE,,420000,12
DEC-027419,DEM-027419,INS-003,2024-05-30,REFUSEE,capacite_insuffisante,,
DEC-027420,DEM-027420,INS-003,2024-11-17,ACCEPTEE,,315000,12
